saleCode,storeCode,customerUUID,salesPersonUUID,date
FW9r,8VhizA,SLyagmow-TkP8-WdJ9-HWYP-GwDr7zNOq9pR,NW3YmGhY-Bhi7-WSQ1-4FmF-ibe76fRWIE6q,
,,QGvGkERN-S1Du-RURn-Ursv-6BPCwDM93SUr,uoG3yHZa-V8Dn-rN8c-mW4F-yD28r6qewW3A,2022-09-09
,bmgTtY,8chcuUTs-x8SH-kanl-0q3S-PzLEuFfESnfI,QZNi6rby-LLJn-6pfr-Zv3p-geE31eAyJI5t,2023-12-03
n5Nj,ZEx4WN,HpreoyNQ-fKMP-SGmN-dp9j-C2BRqbdBY8fF,D8wUzbnl-zjak-cnnn-fJJ3-XNnrCzlQ97PQ,2023-01-14
7vm3,,aPOsWJgB-olcZ-dUcC-d5XH-KPwkRDshMLM2,TKmX1ckQ-lRSV-fQTP-ffIV-xtb0lACmoSN7,2022-09-27
0OpY,oQzxbh,xQj68SvJ-Rp7U-CaPc-h5rz-69rBa2HA9WtO,8ujCIj6h-BMbT-A5rz-i5tP-U9xCgHjQekhL,2023-09-03
VDRx,2MMhb3,aSMHcZA0-S3zb-gRyj-Lymj-zQIFE2JDPi2D,iu2hsU8o-khH7-S3MM-rkZA-d6aSHscjzOFx,2021-11-15
pcW2,1e1GMT,uY3AIaz2-F2E1-tqO4-tt1t-4wC7vK9CdzcR,V2quGTSs-VcRh-i4zR-eNtQ-fk4WYcWLjMZi,
jakY,DlCs27,,IxZO7Hyp-YBVt-ivzQ-w6Fp-FfexwD98eFz0,2021-11-21
MzCY,,heL09glb-H7wO-jB9r-CALd-TAponFmbiaaW,,2024-01-20
DOSH,dR8GWQ,Qx0Uvikj-WGlp-Y410-wBNx-PqUDjD6jvIPd,9mBFLRRq-qwX5-o2CZ-P1NX-iG3RJg8sS3Pv,2023-03-05
XKFK,,6kGlEP2u-phsW-mPa1-fGH1-lzWaCjLhIiH3,,2022-05-03
,zzpsde,,DF2ZGEyl-NQhl-izDR-dHms-Zjw5jGx6ZFHT,2023-09-06
Lows,15cwkk,ODWSnCex-wiTj-Wzbd-YOFr-eCPZrLdQP0YS,Z8FOU994-1KNG-aT2G-18fe-1nFlkrq943QR,2021-10-23
RMzD,,,SYw2VDZh-fkOa-ns6u-bJuo-jghilT4lBTD3,2023-06-30
FyuV,,7qOoy2pK-lk3d-TeqW-T2zL-Rm7SLyYoyevc,,2021-10-29
wfOQ,VdJJXj,RVl1n59y-3Wyb-Fciz-j7Qe-u36Z9jW4Oj7o,,2022-07-30
QhJG,fFQFmF,FNA10QZn-x7O7-zgcj-hGX8-4Z9wqVB49p6T,G8Lq5JDM-8vcB-NfJH-GPId-tbI8pRzZpi4K,2023-06-24
ctJv,4qoWLE,a9id8LbS-Yh0t-lcpU-bRsZ-OGeAKpJwH7HU,zknSE2zm-oZ2o-NY3R-sFse-lRkdeTQcbwkk,2022-01-21
fvOv,PJQ7Ai,DFRtDiae-cst4-bZrW-vFXE-2Kc26H1BEz4F,b90S5pdb-kx86-ElQ6-kf26-3c6YtYLH2ZgT,2024-02-03
os4S,4Sy1OB,,,2022-08-14
o4A2,mnRVDZ,zd7uq4Uj-pChb-S4bg-oVDb-ohblM5zLFUkY,EefW5jlc-dhBN-lPcm-V6bc-YdxGBbNZIKbH,2023-10-31
f1a0,o51rLF,7bFoY5ks-8xTQ-kq3W-cDW4-VMSFAqSYOcui,4NeJ2fF1-XtpE-V8yg-qlya-jsU8k0kjGHB2,2023-04-06
AdZd,8vCiRR,,K8FmZzCg-VHsh-2ago-wyOg-OjlOoFlqLvsj,2023-03-06
fuGS,hyuRW9,FW2XWzbk-4ziw-M49b-f6xW-2MY4mCEcQcQv,cHHJ8uhW-HM7k-89IK-XW6y-jUF9AClqifei,2022-07-09
,,,CKV9pCBx-Urft-PjyJ-NX9l-aQ2BvuBLrcNb,2023-12-18
6D7A,e9LGim,5wUN2J0D-0Q7J-8MuV-6ms7-gsoFkUEWrn8Q,GXuGathR-Rq90-7vpK-cEF7-ivUtajguFbMP,2023-01-19
H3B1,lpWpHA,IA6GPCKQ-pLHx-V5Om-xYSE-3NdwJSCO4qe0,GFdZZj9i-05ZJ-Efjn-NIy4-u4MlvCkIKQtt,2022-05-23
Cz75,FtNulf,jPQ75szH-QKrv-6y1v-DcK2-huJIReUMW65v,73dCWIKU-XI4Y-kfSx-Noq7-NUmhTOYgiIMj,2023-05-04
QzfT,IOCejU,,,
CGz9,RorcCP,3sBXknbu-oKZX-MS2C-O2yg-l78xvjw7sIxy,,
,,iWHx1RKP-oHq9-u99j-Z4gR-R7AvNIoEszgg,,
ZrWb,rYzqhQ,NaGK53l2-Fiz3-kLly-9srd-IDdBdzLWG9AD,8WnhjuCe-DkZD-rzk3-ymli-1mk8ydynjnmB,2024-01-18
IeSB,uoDk2z,IYpRuSEv-aUm4-NbhP-9Cbq-dZzBhdeffEFS,,2022-05-03
erfk,Piyqg2,SmEeCYbB-3Jj3-kGIQ-5GkM-RBlWq2p7JCmL,wYXqxdl5-YGx4-s7iR-PU1s-tjCz4A9KH353,2023-01-02
1dtj,,ptIUJ38t-OWd7-hWUe-GFAd-ynbnOeebSTTe,mG0QGmys-r90W-wkSF-HtXr-prBti5TjcUku,2024-01-19
Hhai,cLuuMM,gi3KUofv-FvUg-1D2H-ZQ5h-uRPDsEEPcoUR,8he9IVXW-Bzda-hpCO-IfVQ-OIBpzDAYuthq,2024-01-27
